,Corriente L1,Corriente L2,Corriente L3,Flujo Descarga,T° Desc Bba. LL,T° Desc Bba. LA,T° Desc Mot. LL,T° Desc Mot. LL.1,Prox. Bba. LLX,Prox. Bba. LLY,Prox. Bba. LAX,Prox. Bba. LAY,Prox. Mot. LAX,Prox. Mot. LAY,Prox. Mot LLX,Prox. Mot. LLY
2018-11-28 02:01:15.000009600,260.98,270.53,263.13,854.1939063313031,49.619371982375725,57.305811594823034,68.01157416853239,72.98842583146762,23.84,9.9675,39.9025,19.1025,14.131041675167916,9.26942129157338,28.389456563799392,13.338032391349492
2018-11-28 02:01:25.000032000,260.98,265.43,263.13,849.3598850737724,49.63950079972263,57.31185024014172,68.97607998702455,72.02392001297545,23.65333338418355,9.645833420959148,39.904166666212646,18.864166731591492,14.21784719883221,9.221196000648774,28.88764479313504,13.174066402205828
2018-11-28 02:42:44.999971200,260.94,265.43,263.18,836.1733866855066,49.21009523397021,57.25424382784896,68.0,73.0,21.575000002776505,8.599999997171107,41.63499999397551,17.254999999214196,14.13942036745612,9.527847306022055,28.713749854026094,14.31166699105312
2018-11-28 02:43:05.000016000,271.18,275.67,268.65,912.7769261322655,49.23655026257008,57.249976053845,68.0,73.0,21.302499997013943,8.734166612585932,42.15416664443716,17.24916663448365,13.777218208178429,9.132101460379564,28.822924272316296,13.460740819833095
2018-11-28 02:43:45.000019200,271.18,275.67,273.76,943.6020596810401,49.427571437118445,57.245186781446655,68.0,73.0,21.24249999764259,7.647499957304685,41.70749998245039,16.60249997459236,13.46,9.026226900730173,29.117245380062524,12.79134262331611
2018-11-28 02:43:54.999955200,271.18,280.74,273.76,954.9959348453744,49.445076586011446,57.24398946383632,68.0,73.0,21.227500003929016,7.375833404492192,41.59583336258268,16.440833375679404,13.500763871886388,8.822206741005127,29.73736888572465,12.40407398339408
2018-11-28 02:44:04.999977600,271.18,275.33,273.76,948.8520270018067,49.46079447304245,57.24279214517222,68.0,73.0,21.161666634274095,7.254166674533433,41.36583323661839,16.37083333934909,13.587569477211519,9.072978489722162,29.43837180071588,12.867037211794765
2018-11-28 02:44:34.999958400,271.18,275.26,273.76,958.0265042704019,49.50794810449266,57.239200191437966,68.96682084622415,73.0,20.811666637941183,7.339166673642854,40.32083324756725,16.435833338668065,13.33028553767051,8.792939869972578,30.108341042311206,12.382561824567572
2018-11-28 02:44:44.999980800,271.18,280.36,273.76,964.3897268554867,49.52366597769037,57.23800287382763,68.00231502773201,73.0,20.69500000183354,7.367499999554711,39.97250000547442,16.457499999659483,13.629282341403078,9.169097139184515,30.0601157513866,13.038425781142232
2018-11-28 03:09:14.999990400,276.24,280.36,277.69,978.0129896655934,49.62271677568638,57.23507168379045,68.0,73.0,24.2125,10.155,39.1825,18.6525,13.68,8.940972246222778,30.008842728595734,12.233240705539927
2018-11-28 03:09:25.000012800,271.01,275.0,272.69,935.1599585306784,49.621809004731965,57.24253883196174,68.0,73.0,24.180833316080584,10.024999929172912,39.370833435941805,18.707500029965303,13.68,8.651620246662246,28.36918139775272,12.657623638228706
2018-11-28 03:09:35.000035200,271.01,275.0,272.69,907.9032628958436,49.62090123451943,57.25000597403061,68.0,72.04089500338787,24.149166658040286,9.894999964586455,39.559166717970896,18.76250001498265,13.90059414922079,8.774683649559577,27.97635800135515,13.062824098577096
2018-11-28 03:09:44.999971200,265.64,269.74,267.3,880.8607454517473,49.62041665044734,57.25747311609948,69.0,72.0069441741224,24.1175,9.765,39.7475,18.8175,13.762916553131408,8.822152693977944,28.045624781039145,13.39
2018-11-28 03:10:05.000016000,265.64,269.74,262.25,861.6226201071182,49.64581723405137,57.27240740633963,68.98070998185558,72.01929001814442,23.954166619335112,9.532499984676834,39.97083330915678,18.847499978547567,14.222507702358776,9.131736101633,28.460223709616542,13.615208304898992
2018-11-28 03:10:15.000038400,260.32,264.34,262.25,852.0035528995886,49.61059177213522,57.27987455498033,68.01620331450174,72.98379668549826,23.722499843441778,9.457499949315682,39.852499920031406,18.742499929041955,14.347893569114772,9.218541701694845,28.97141224331408,13.87562510508453
2018-11-28 03:11:44.999980800,255.13,264.34,256.97,811.7849157824779,49.38327957420345,57.30001207840591,68.0,72.00231502773201,21.93,8.474999999999998,38.885000000000005,17.137500000000003,14.44053245637836,9.62020835249588,29.73979164750412,14.85967589611752
2018-11-28 03:11:55.000003200,255.13,259.23,256.97,809.7368069004506,49.3608781296896,57.3,68.0,72.0,21.763333242529377,8.331666588575262,38.78833328066704,16.88583319621936,14.53621916373294,9.62,29.701512334506823,14.86
2018-11-28 03:15:15.000019200,255.13,259.23,256.97,804.9897045652085,49.273373398207546,57.34973809701921,68.99768497226799,73.0,22.152500000445286,8.512499995520919,39.2825000000262,18.02749999316351,14.669050838629875,10.018564682806154,30.85937494251236,14.949467543621637
